기준일,기준일_시트명,학원순서,학원명,올해_재학생,올해_N수,올해_총인원,올해_총인원_원본열,원본총원_차이,전년_재학생,전년_N수,전년_총인원,목표_재학생,목표_N수,목표_총인원,전년대비_재학생_증감,전년대비_N수_증감,전년대비_총원_증감,전년대비_총원_증감률,목표대비_재학생_차이,목표대비_N수_차이,목표대비_총원_차이,목표달성률_총원,원본파일,원본시트,원본행,추출_올해총원열,추출_목표열,추출_전년열
2026-04-05,4.5(일),3,여학생 전문관,0,325,325,424,-99,0,403,403,0,400,400,0,-78,-78,-0.1935483870967742,0,-75,-75,0.8125,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.5(일),14,L,Y/Z,AB/AC
2026-04-05,4.5(일),4,여학생 수학전문관,0,99,99,,,0,0,0,0,0,0,0,99,99,,0,99,99,,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.5(일),15,L,Y/Z,AB/AC
2026-04-05,4.5(일),5,남학생 전문관,0,458,458,458,0,0,431,431,0,450,450,0,27,27,0.06264501160092807,0,8,8,1.0177777777777777,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.5(일),16,L,Y/Z,AB/AC
2026-04-05,4.5(일),6,강남,99,177,276,276,0,98,155,253,99,320,419,1,22,23,0.09090909090909091,0,-143,-143,0.6587112171837709,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.5(일),18,L,Y/Z,AB/AC
2026-04-05,4.5(일),7,목동,83,272,355,355,0,84,314,398,87,333,420,-1,-42,-43,-0.10804020100502512,-4,-61,-65,0.8452380952380952,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.5(일),19,L,Y/Z,AB/AC
2026-04-05,4.5(일),8,분당,160,356,516,516,0,207,364,571,215,370,585,-47,-8,-55,-0.09632224168126094,-55,-14,-69,0.882051282051282,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.5(일),20,L,Y/Z,AB/AC
2026-04-05,4.5(일),9,대구,161,446,607,607,0,172,446,618,213,425,638,-11,0,-11,-0.01779935275080906,-52,21,-31,0.95141065830721,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.5(일),21,L,Y/Z,AB/AC
2026-04-05,4.5(일),10,대전,110,188,298,298,0,109,201,310,115,195,310,1,-13,-12,-0.03870967741935484,-5,-7,-12,0.9612903225806452,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.5(일),22,L,Y/Z,AB/AC
2026-04-08,4.8(수),1,최상위권 전문관,0,759,759,759,0,0,547,547,0,610,610,0,212,212,0.3875685557586837,0,149,149,1.2442622950819673,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.8(수),12,L,Y/Z,AB/AC
2026-04-08,4.8(수),2,기숙 종합관,0,411,411,411,0,0,259,259,0,390,390,0,152,152,0.5868725868725869,0,21,21,1.0538461538461539,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.8(수),13,L,Y/Z,AB/AC
2026-04-08,4.8(수),3,여학생 전문관,0,322,322,421,-99,0,403,403,0,400,400,0,-81,-81,-0.20099255583126552,0,-78,-78,0.805,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.8(수),14,L,Y/Z,AB/AC
2026-04-08,4.8(수),4,여학생 수학전문관,0,99,99,,,0,0,0,0,0,0,0,99,99,,0,99,99,,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.8(수),15,L,Y/Z,AB/AC
2026-04-08,4.8(수),5,남학생 전문관,0,457,457,457,0,0,429,429,0,450,450,0,28,28,0.06526806526806526,0,7,7,1.0155555555555555,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.8(수),16,L,Y/Z,AB/AC
2026-04-08,4.8(수),6,강남,99,182,281,281,0,98,156,254,99,320,419,1,26,27,0.1062992125984252,0,-138,-138,0.6706443914081146,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.8(수),18,L,Y/Z,AB/AC
2026-04-08,4.8(수),7,목동,83,276,359,359,0,83,317,400,87,333,420,0,-41,-41,-0.1025,-4,-57,-61,0.8547619047619047,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.8(수),19,L,Y/Z,AB/AC
